question_title,question_text,class,hint,img_url,answer_type
"Rolnik z krową w stodole","Rolnik dostał zamówienie na 5 litrów mleka. Mleko, po wydojeniu krowy, przelewa zawsze do butelek o pojemności 250 mililitrów, ile takich butelek musi dostarczyć zamawiającemu?",5,"1L = 1000ml","4stodola16-9","abc"
"Gospodyni w kuchni","Pani Jadzia robi ciasto na pierogi, jej waga kuchenna pokazuje wagę w gramach, a w przepisie jest napisane, że potrzebuje 50 dekagramów mąki. Ile gramów musi wskazywać waga żeby wsypać tyle mąki ile jest w przepisie?",5,"1dg = 10g","2kuchnia16-9","text"
"Rolnik z mapą w samochodzie","Rolnik po zapakowaniu butelek mleka musi je dostarczyć klientowi, prowadzącemu stację benzynową. Przy dostarczeniu zamówienia Rolnik dostanie rabat na paliwo. Niestety jego samochód pokazuje, że zostało mu paliwa tylko na 40 kilometrów. Na mapie w skali 1:100000 jego miejscowość jest oddalona o 20 centymetrów. Czy Rolnikowi uda się dojechać do klienta bez tankowania?",6,"1km = 1000m, 1m = 100cm","7stacja16-9","trueFalse"
"Syn i uciekający autobus przy przystanku","Syn rolnika - Marek - wraca ze szkoły autobusem. Przystanek na którym czeka na autobus znajduje się 2 kilometry od wioski. Jednego dnia autobus uciekł Markowi. Marek wie, że długość jego kroku, gdy jest zmęczony, wynosi 20 centymetrów. Ile kroków wykona Marek dochodząc do domu na piechotę?",6,"1km = 1000m, 1m = 100cm","3przystanek16-9","text"
"Karmienie zwierząt","Jedna kura zjada średnio 100 gramów paszy jednego dnia. Rolnik ma w zapasie 3 tony paszy. Jeśli rolnik ma 120 kur, to na ile dni wystarczy mu paszy?",5,"1kg = 1000g","4stodola16-9","abc"
"Kupowanie desek","Pan Kazio pojechał do sklepu kupić deski na nową budę dla psa. Wcześniej obliczył, że potrzebuje 9 metrów desek. Niestety zapomniał zabrać miarki do sklepu. Jedyne co ma pod ręką to karton po mleku, który ma długość 2 decymetrów. Ile razy musi odmierzyć deskę kartonem, aby być pewnym, że starczy mu na budę dla psa?",5,"1m = 10dm","1siatka16-9","abc"
"Uprawa dyni","Jedna dynia na farmie waży średnio 3 kilogramy. Pan Kazio ma przyczepę o ładowności 2 ton. Ile dyni może zabrać na przyczepę za jednym wyjazdem na pole dyniowe?",4,"1T = 1000kg","5pasieka16-9","text"
"Pieczenie ciasta","Pani Jadzia chce upiec ciasto marchewkowe. Na jedno ciasto przypada 25 dekagramów startej marchewki. Szacujemy, że na jednej grządce jest zasadzone 20 kilogramów marchewek. Ile ciast marchewkowych można upiec z jednej grządki marchewek?",5,"1kg = 100dg","2kuchnia16-9","text"
"Napełnianie basenu","Pan Kazio kupił nowy basen do swojego ogrodu. Chciałby w czasie nalewania wody wykonać inne obowiązki. W związku z tym musi obliczyć za jaki czas należy zakręcić wodę. Zmierzyliśmy, że wąż ogrodowy podaje 400 mililitrów wody na sekundę. Basen ma pojemność 90 hektolitrów. Jak długo będzie się napełniać basen?",6,"1hl = 1000000ml","10ryby16-9","abc"
"Zbieranie jabłek","Marek wraz z kolegami za każdy kilogram zebranych jabłek w sadzie u sąsiada dostaje złotówkę. Planują kupić dużą pizzę, która kosztuje 36 złotych. Jedno jabłko waży 250g. Ile jabłek muszą zebrać żeby starczyło im na tą pizzę?",6,"1kg = 1000g","6sad16-9","text"
"Ogradzanie pola","Pan Kazio planuje ogrodzić kwadratową działkę mającą powierzchnię 1 hektara. Ile metrów siatki musi kupić żeby to zrobić?",8,"1ha = 100m x 100m","9kombajn16-9","text"
"Afera pszeniczna","Pan Kazio sprzeczał się z sąsiadem Waldkiem ile pszenicy można otrzymać z jednego metra kwadratowego pola. Wiadomo jest, że na 10000 metrów kwadratowych Pan Kazio zebrał 3,5 tony pszenicy. Według Pana Waldka jest to 3,5kg, a według Pana Kazia 350g. Kto ma rację?",5,"1T = 1000kg","9kombajn16-9","abc"
"Ile słoików miodu?","Pszczoły w pasiece sąsiada Waldka produkują 10 litrów miodu rocznie. Ile Waldek ma przygotować słoików o pojemności 500ml?",5,"1L = 1000mL","5pasieka16-9","abc"
"Malowanie wiaty","Pan Kazio z Markiem malują wiatę. Wyliczyli, że wszystkie ściany do pomalowania mają 30 metrów kwadratowych. 125 mililitrów farmy starczy na jeden metr kwadratowy powierzchni. Czy 5-litrowa puszka farby im wystarczy?",6,"1L = 1000mL","4stodola16-9","trueFalse"
"Zbieranie plonów","Pan Kazio chce zebrać zboże ze swojego pola, które ma 250 arów kombajnem. Zakładając, że kombajn pali 20L/ha, ile paliwa będzie potrzebował Pan Kazio?",6,"1 hektar = 100 arów","9kombajn16-9","text"
"Biegający Marek","Marek stwierdził,  że najwyższy czas wyjść pobiegać. Zdecydował, że przebiegnie 4km. Ile to metrów?",5,"1km = 1000m","4stodola16-9","text"
"Teleturniej","Kazio i Jadzia oglądają w telewizji teleturniej. Uczestnik dostał pytanie - Co jest cięższe - 60 mln miligramów piór, czy 45 tys. gramów kamieni? Kazio uważa, że poprawną odpowiedzią są pióra, a Jadzia, że kamienie. Kto ma rację?",4,"1g = 1000mg","2kuchnia16-9","abc"
"Marek mierzy wzrost","Marek chce zmierzyć swój wzrost. Ma do dyspozycji miarkę, która odmierza w centymetrach. Markowi wyszło, że ma 145 centymetrów wzrostu. Ile metrów wzrostu ma Marek?",4,"1m = 100cm","2kuchnia16-9","abc"
"Wyprawa wędkarska","Kazio ma zamiar pójść na ryby. Ma jednak problem - jego nici wędkarskie są bardzo krótkie. Znalazł 100 decymetrów jednej i 600 centymetrów drugiej. Kazio potrzebuje minimum 15 metrów nici. Czy jeśli połączy te nici, które znalazł, to będzie miał wystarczająco długą nić?",4,"1m = 10dm, 1m = 100cm","10ryby16-9","trueFalse"